speaker,item,start,label,duration,tp,f0
PL02,cumowac,168.8901563,V1,0.04,168.9101738,204.5026
PL02,zywo,171.259955,V1,0.08,171.2999775,256.8109
PL02,sumo,173.4893811,V1,0.0606,173.5196791,258.1875
PL02,papaja,175.7349377,V1,0.0473,175.7585947,192.5165
PL02,zywotnie,178.1891609,V1,0.0522,178.2152442,192.0177
PL02,kuma,180.6893461,V1,0.0506,180.7146505,269.0827
PL02,kumaty,183.0416623,V1,0.034,183.0586468,209.2896
PL02,papa,185.2665949,V1,0.0849,185.3090561,266.7339
PL02,zimami,187.399955,V1,0.0688,187.4343548,184.4783
PL02,mimo,189.9096328,V1,0.0655,189.9423886,262.3276
PL02,rzepaku,192.129977,V1,0.0446,192.1522886,192.2789
PL02,niebo,194.5522545,V1,0.0425,194.5734851,262.9218
PL02,zima,196.8695273,V1,0.0604,196.8997522,262.1333
PL02,mimoza,198.94,V1,0.0698,198.9749075,188.9274
PL02,nowotw€r,202.016831,V1,0.0643,202.0489802,185.8579
PL02,bywalec,204.5740355,V1,0.0534,204.6007255,184.0695
PL02,rzepa,207.1071153,V1,0.0704,207.1422975,245.342
PL02,babo,209.3152022,V1,0.0873,209.3588766,235.0298
PL02,nieborak,212.3172267,V1,0.0328,212.3336046,192.4934
PL02,babochlop,214.669977,V1,0.06,214.699977,182.986
PL02,popada,217.2109761,V1,0.0352,217.2285672,180.6354
PL02,popa,219.4748692,V1,0.0497,219.4997393,267.9133
PL02,bywa,221.8,V1,0.09,221.8449885,264.7445
PL02,nowo,223.949977,V1,0.072,223.9859522,252.0212
PL02,cumowac,226.2033242,V1,0.0412,226.2239483,195.932
PL02,zywo,228.509977,V1,0.08,228.549977,261.1465
PL02,sumo,230.729977,V1,0.0761,230.7680134,265.6152
PL02,papaja,232.9245002,V1,0.04,232.9445177,185.2702
PL02,zywotnie,235.2778909,V1,0.0473,235.3015479,192.5538
PL02,kuma,237.6303459,V1,0.0449,237.6527897,269.2065
PL02,kumaty,240.1183993,V1,0.0425,240.1396299,193.2447
PL02,papa,242.4318939,V1,0.0776,242.4707155,260.4986
PL02,zimami,244.7296171,V1,0.0315,244.7453884,178.0512
PL02,mimo,247.26391,V1,0.0752,247.3015185,255.6709
PL02,rzepaku,249.6524828,V1,0.0449,249.6749266,185.5031
PL02,niebo,252.087434,V1,0.0526,252.113717,274.4928
PL02,zima,254.489977,V1,0.0468,254.5133907,247.2139
PL02,mimoza,256.949977,V1,0.0592,256.9796012,190.9722
PL02,nowotw€r,259.419955,V1,0.0458,259.4428455,187.9108
PL02,bywalec,262.1295615,V1,0.0504,262.1547808,192.9239
PL02,rzepa,264.889977,V1,0.0747,264.9273498,233.3763
PL02,babo,267.2927753,V1,0.1031,267.3443353,230.841
PL02,nieborak,269.969977,V1,0.04,269.989977,202.9685
PL02,babochlop,272.029977,V1,0.05,272.054966,203.9072
PL02,popada,274.0210916,V1,0.0352,274.0386826,199.6881
PL02,popa,276.2097676,V1,0.0449,276.2322113,271.7551
PL02,bywa,278.249977,V1,0.06,278.279977,279.3672
PL02,nowo,280.3142933,V1,0.0657,280.3471466,269.0632
PL02,cumowac,282.1077508,V1,0.0437,282.129588,221.1956
PL02,zywo,284.189977,V1,0.06,284.219977,258.7106
PL02,sumo,286.2738711,V1,0.0473,286.297528,269.7918
PL02,papaja,288.3180401,V1,0.0376,288.3368444,205.3181
PL02,zywotnie,290.449977,V1,0.04,290.469977,204.0925
PL02,kuma,292.8191363,V1,0.0412,292.8397603,278.7687
PL02,kumaty,294.9290945,V1,0.0409,294.9495357,208.4662
PL02,papa,296.9964527,V1,0.057,297.0249624,264.9289
PL02,zimami,298.899955,V1,0.04,298.9199775,193.5015
PL02,mimo,301.5276007,V1,0.0728,301.5639961,228.4003
PL02,rzepaku,303.629977,V1,0.0353,303.6476501,197.0522
PL02,niebo,305.969977,V1,0.0427,305.9913125,268.2889
PL02,zima,308.0329698,V1,0.037,308.0514734,269.95
PL02,mimoza,310.1001892,V1,0.0655,310.132945,216.6391
PL02,nowotw€r,312.289977,V1,0.04,312.309977,199.7036
PL02,bywalec,314.3806258,V1,0.0655,314.4133816,197.7975
PL02,rzepa,316.4187289,V1,0.0667,316.4520913,254.0217
PL02,babo,318.509977,V1,0.061,318.5404933,249.07
PL02,nieborak,320.7305693,V1,0.0394,320.7502732,204.543
PL02,babochlop,322.869505,V1,0.0437,322.8913422,193.6885
PL02,popada,325.0859453,V1,0.0425,325.1071759,191.2852
PL02,popa,327.1752795,V1,0.051,327.2007563,268.9267
PL02,bywa,329.2135214,V1,0.0746,329.2508267,262.6749
PL02,nowo,331.249977,V1,0.07,331.284966,263.4844
PL02,cumowac,333.1663999,V1,0.0436,333.1881885,224.6748
PL02,zywo,335.38,V1,0.04,335.4,271.9478
PL02,sumo,337.3714807,V1,0.0585,337.4007288,286.2125
PL02,papaja,339.3478505,V1,0.0388,339.3672614,207.2533
PL02,zywotnie,341.469977,V1,0.04,341.489977,202.1096
PL02,kuma,343.851373,V1,0.0386,343.870675,265.4543
PL02,kumaty,346.1563753,V1,0.0436,346.1781652,213.3428
PL02,papa,348.3825211,V1,0.0631,348.4140637,259.987
PL02,zimami,350.4583715,V1,0.0461,350.4814219,205.9263
PL02,mimo,352.6993529,V1,0.0692,352.7339285,266.1355
PL02,rzepaku,355.1026227,V1,0.0461,355.125673,208.3328
PL02,niebo,357.4039854,V1,0.056,357.4319702,258.4313
PL02,zima,359.749977,V1,0.05,359.774966,258.4424
PL02,mimoza,362.0820668,V1,0.0449,362.1045106,205.4115
PL02,nowotw€r,364.309977,V1,0.05,364.334966,200.4062
PL02,bywalec,366.7199745,V1,0.0728,366.7563698,194.2939
PL02,rzepa,368.936276,V1,0.0558,368.9641791,240.38
PL02,babo,371.199955,V1,0.07,371.234966,244.9276
PL03,rzepa,11.04627724,V1,0.0922,11.092378,167.4805
PL03,nieborak,15.08095507,V1,0.069,15.11546604,267.5997
PL03,babo,19.59486134,V1,0.1383,19.66401248,156.0358
PL03,kumaty,23.59930335,V1,0.0679,23.63327233,259.303
PL03,papa,27.56611334,V1,0.0995,27.61585364,179.55
PL03,mimoza,31.73433438,V1,0.0861,31.7774022,231.2892
PL03,zima,36.319955,V1,0.07,36.354966,223.9756
PL03,popa,40.51955831,V1,0.0958,40.56747884,186.5841
PL03,sumo,44.359955,V1,0.1022,44.41104163,226.1525
PL03,nowotw€r,48.08,V1,0.07,48.1149885,247.1541
PL03,zimami,52.329977,V1,0.09,52.374966,250.7862
PL03,bywa,56.159955,V1,0.11,56.214966,185.3441
PL03,papaja,59.96303548,V1,0.0752,60.000644,215.3753
PL03,babochlop,64.109977,V1,0.0953,64.15761869,229.9196
PL03,mimo,68.369977,V1,0.109,68.42447895,209.9198
PL03,popada,72.91769363,V1,0.0667,72.95105603,232.4666
PL03,zywotnie,77.369977,V1,0.0847,77.41232539,230.8083
PL03,rzepaku,81.84,V1,0.074,81.87700527,235.5749
